index,sentence
6_248,새우는 어떻게 해도 맛있는 거 같아요.
6_259,요즘엔 여유가 없어 못 읽었지만 좋아해요.
6_262,먹은 지 좀 돼서 가물가물해서 찾아봤어요.
6_267,그럼 해보시는 것도 괜찮을 거 같아요.
6_271,애니메이션이었는데 새 나오는 거 제목이 뭐였더라?
6_276,온라인 커뮤니티는 하는 게 잘 없네요.
6_277,서울에 살면서도 한 번을 안 가봤네요.
6_290,우리 지역에서 너무 멀어서 가보고 싶네요.
7_5,나름 기분 전환도 되고 좋은 거 같아요.
7_15,우린 먼지 같은 월급을 받으면서 공부하는 직장인이라고.
7_26,그럼 다른 취미 생활 어떤 거 하시나요?
7_36,대화 잘 통하는 사람 너무 많지 않아요?
7_46,지금은 재택근무라 편해서 이직 생각이 쏙 들어가서요.
7_56,근데 저희 순서가 오려면 먼 것 같아요.
7_58,핸드폰 사용이 가능해지고 폭력이 많이 줄었다고 하더라고요.
7_70,진짜 전 요즘도 엄마 집으로 가고 싶어요.
7_84,전 대학 땐 놀고 공부하고 연애하기에 바빴네요.
7_86,열량 상관없이 그저 먹는 걸 좋아하는 사람입니다.
7_91,엄마가 엄청 확고한 기독교인이라서 그걸 따라간 거죠.
7_93,이제 그만 좀 주말 시간 뺏었으면 좋겠다.
7_103,진짜 상상도 할 수 없는 이야기들이 나와요.
7_113,좀 더 독서 내공이 쌓이면 읽어볼까 봐요.
7_121,운동으로 스트레스 푸는 건 좋은 것 같아요.
7_125,은근히 신발 살 때도 까다로운 거 같아요.
7_127,이런 말도 나오던데 그거에 대해서는 어떻게 생각하세요?
7_130,그럼, 여수 밤바다에서 맥주 마시고 다 했지.
7_131,난 라면 먹고 싶은데, 집에 없어서 고민이야.
7_135,지키려고 노력은 하는데 참 태생이 게으른가 봅니다.
7_148,수영을 하니까 몸이 좀 가벼운 느낌이 들어요.
7_178,아이들이 예쁜 거에 더 반응하는 거 같아요.
7_205,저도 어느 정도 포기가 되는 거 같아요.
7_210,그렇진 않은데 주위 보면 다들 챙겨 먹더라고요.
7_227,비주얼도 정말 맛있어 보이고 맛도 진짜 맛있어요.
7_235,한번 진하게 먹고 나면 돌아갈 수 없죠.
7_238,전 대체휴일 덕에 병원을 가볼 수 있었네요.
7_242,그래서 다음에 주문할 때 또 사 먹으려고요.
7_260,저도 별로 안 좋아하는데 스테비아 토마토라고 들어보셨어요?
7_263,나도 약은 안 샀는데 알아보고 하나 살라고.
7_279,조금 더 밀가루를 줄이려고 하는데 쉽지 않네요.
8_1,좀 옛날 책이라 좀 어두운 분위기인데 동화 풍이에요.
8_6,방콕 가보고 싶었는데 요즘은 국내 여행을 많이들 가더라고요.
8_14,강아지는 땀샘이 없어서 혀로 체온조절 한다고 알고 있어!
8_20,전 잘 안 읽긴 한데 최근에 하나 읽었어요.
8_30,그럼, 약간 비상시 먹을 수 있는 식량을 알아둬야겠네요.
8_43,콘치즈 붙은 거랑 아닌 게 있는데 콘치즈 필수입니다.
8_45,저도 게임은 별로 안 하는데 유일하게 한 게임이에요.
8_51,바로 피드백을 받을 수 없으니까 그런 단점이 있군요.
8_55,진짜 눈앞에 있는 게 효과가 좋은 거 같아요.
8_84,한 시간 정도면 게임에 쓰는데 적당한 시간 같아요!
8_101,여행은 따로 시간을 내야 되니까 자주 가긴 힘들죠.
8_111,나도 앉아서 쓰기 힘들어서 누워서 폰으로 쓰기도 해.
8_118,진짜 천 원에 판다고 올리는 게 최선인가 봐요.
8_123,저는 대학생이라고 해서 특별한 것은 없었던 것 같아요.
8_124,바닷가 근처 걷는 거 너무 좋을 거 같아요.
8_129,저번에 했을 때는 몰라서 이번에 하면 가고 싶어요.
8_136,그거 카레 만들 때 넣으래서 넣었더니 그것도 맛있더라.
8_142,아니 요즘 애들이 부쩍 나가면 동물에 관심 보이더라고.
8_144,유럽은 한 번도 못 가봤는데 볼 거 많죠?
8_145,요즘 그래서 내 집 마련 때문에 고민이 많아요.
8_150,요즘에 군대 간 연예인들도 많은데 금방 나오는 느낌이잖아요.
8_160,그러다 보니 가을을 더 좋아하는 것일 수도 있겠네요.
8_170,요즘 일교차가 커서 감기 조심해야 할 것 같아요.
8_177,다들 왜 이렇게 조용하냐고 했더니 오늘 축구를 했군요.
8_218,저는 그거 1회 틀었다가 앉은 자리에서 다 봤어요.
8_223,저는 월드컵이나 올림픽 이런 거 보는 거는 좋아해요.
8_247,그래서 난 내가 먼저 헤어지자고 말을 잘 못해.
8_250,어디서 그렇게 먹는다는 걸 보고 따라 해봤는데 괜찮더라고요.
8_268,저 경주 여행 간 날 비가 많이 왔어요.
8_282,저는 무교지만 부모님이 불교라 절에 한 번씩 다녀요.
8_292,근데 제가 그쪽 직종이 아니라서 정말 부럽기만 하네요.
9_1,저는 탁구 쳐보고 싶었는데 한 번도 기회가 안 됐네요.
9_7,근데 중고 거래도 싸게 사서 되파는 사람들도 많다고 해요.
9_8,요즘 여기저기서 세일 많이 하던데 최근에 산 거 있어요?
9_9,오랜만에 가공 안 된 고기 먹는 거라 더 맛있었어요.
9_10,따로 하는 동호회는 없고 같이 게임을 하는 모임은 있어요.
9_12,맛집을 그렇게 다 기억해 대는 건 보통 머리가 아님.
9_14,아니 근데 너는 딱 봐도 해준 만큼 해줄 친구거든?
9_20,전 아이들 가르치는데, 대학 때는 회사 인턴 생활도 했었어요.
9_21,저는 글램핑 좋아는 하는 데 많이 못 가봐서 부러워요.
9_49,저도 그렇게 생각하는 쪽인데 참 어려운 문제 같긴 해요.
9_61,가족분들이 존재하지 않는 것을 믿는다고 생각하는 건 아닌 거야?
9_74,이브날까지도 출근은 할 테고 당일은 집에서 쉴 것 같아요.
9_79,직관도 가고 그래서 이번 올림픽 때도 배구 열심히 봤어요.
9_84,집 근처 공원이나 출근길에나 볼 수 있는 거 같아요.
9_86,우리나라도 그렇고 해외도 그렇고 기상이변이 너무 많은 것 같아요.
9_92,그렇게 비 오고 나니까 좀 많이 선선해진 거 같아요.
9_93,그 매력에 한 번 빠지면 나오기 어려운 거 같아요.
9_94,그 브랜드에 맞게끔 특색 살려서 잘 나오는 거 같아요.
9_99,직장 다니는 낙이 점심시간인데 메뉴가 잘 나와야 힘도 나죠.
9_102,패딩도 사야 하고 겨울옷도 사야 하고 하는데 아주 비싸네요.
9_105,영화 리뷰 쪽도 저작권 고려 많이 할 듯한데, 어떤가요?
9_116,화면구성이 너무 뛰어나서 좋아하는데 잔인한 건 잘 못 보겠더라고요.
9_118,근데 저 진짜 거의 유명한 건 다 본 사람이네요.
9_134,딱히 반응이 긍정적이지도 않은 것 같은데 그럴 수도 있겠네요.
9_137,우리 아들도 반지 끼고 예쁘게 옷 입는 거 좋아하더라고요.
9_152,일단 해외여행이 처음이라 설레서 그런지 뭐든 다 신기하고 좋았어요.
9_155,저는 뭔가 즐길 거 다 즐겨보고 늦게 가고 싶어요.
9_178,진짜 한번 먹어보고 싶었는데 너무 비싸서 엄두가 안 나더라.
9_181,체온이 떨어지면 몸의 면역력도 일시적으로 떨어질 수 있다고 하더라고요.
9_184,왠지 읽으면 매매할 때 도움이 많이 될 것 같아요.
9_185,개인 폰을 군대에 가지고 들어가서 전화가 되는 것도 신기해요.
9_188,저는 자취생은 아니지만 주말은 약간 암묵적으로 청소하는 날 아닌가요?
9_206,요즘 날씨가 선선해져서 긴 바지 입었는데 습해서 괜히 입었어요.
9_217,다들 실내에서 운동하기 힘드니까 강아지 데리고 산책하시는 분들 많더라고요.
9_219,저는 미술에 대해서 잘은 모르지만 조금씩 알아가는 재미가 있더라고요.
9_224,일일이 감정적으로 이입하거나 하면 정신건강에도 어마어마하게 나쁠 것 같고요.
9_230,전 기대 많이 했는데 생각보다는 덜 재밌었던 것 같아요.
9_238,새벽에 일어나서 공부할 거란 커다란 착각한 저 자신을 반성합니다.
9_242,직장 검진 공짜로 해주는 것만 해도 좋을 거 같아요.
9_243,전 주로 대중가요 조금 듣고 대부분은 애니메이션 오프닝 들어요.
9_247,전 글씨와 안 친해서 거의 안 읽은 것 같아요.
9_248,대학교 다닐 때 동아리나 소모임 같은 건 좀 했어요.
9_251,그렇게 좋아하지는 않는데 건강 지키려고 걷기 정도 하고 있어요!
9_273,야채도 많이 사면 상하는데 딱 필요한 만큼 오니까 좋아요.
9_279,추위를 안 타는 편은 아닌데 집에만 있어서 그런가 봐요.
9_288,그러고 보니 성인 되고 나서는 딱히 운동을 안 했네요.
9_297,저는 모태신앙이어서 부모님이 생일 달에 해당하는 성인 이름으로 지어주셨어요.
