index,sentence
8_61,제가 하면 그 맛이 안 나서 사 먹었어요.
8_75,나도 농장 키우는 비슷한 거 했었는데 하다가 접었어.
8_82,빨리 베트남 가서 맛있는 거 다 먹고 싶어.
8_109,평창 딱 한 번 가봤는데, 느긋하게 가보고 싶네요.
8_123,저는 대학생이라고 해서 특별한 것은 없었던 것 같아요.
8_147,대학원도 생각했는데 기가 빨려서 할 수 있나 싶어요.
8_152,이 날씨에도 더워서 에어컨 트는 분들이 꼭 있어요.
8_206,맞벌이다 보니 핑계 겸 저도 자주 시켜 먹어요.
8_208,조금만 먹으려고 했는데 밥을 많이 담아서 많이 먹었네.
8_226,난 추위를 많이 타는 편이라 겨울엔 못 가겠더라고.
8_240,저도 산책하러 가고 싶은데 비 핑계로 안 나가요.
8_251,촬영 기법이 막 깜짝깜짝 놀라게 그렇게 나오진 않아요!
8_273,총각김치는 한 번도 안 사 먹어봤는데 그것도 맛있나요?
9_3,아무래도 게임을 하는 사람들이 더 재밌게 보는 것 같더라고요.
9_27,지금 구매하면 딱 맞춰 입을 수 있을 것 같은데요?
9_29,그래서 등산화 하나 해드리려고 하는데 혹시 추천하는 제품 있으신가요?
9_59,완전 정식대로 하는 전문점에서는 고수를 거의 넣는 거 같더라고요.
9_70,무서워 하다가 사람 보면 심장마비 걸릴 거 같긴 해요.
9_93,그 매력에 한 번 빠지면 나오기 어려운 거 같아요.
9_95,저는 급식 먹을 때 카레 나오는 날을 가장 좋아했어요.
9_101,싫어하진 않는데 남이 해준 거 먹는 게 제일 맛있어요.
9_110,흥미 있는 곳에 가니 여행이 더 즐거울 것 같아요!
9_117,전 놀이 기구 타는 거 좋아해서 놀이공원 가고 싶네요.
9_150,점점 게을러져서 안 가기 시작했는데 운동하기 좋은 동기부여가 있을까요?
9_154,저 사실 1분에 한 번씩 하품하며 눈물 흘리고 있었어요.
9_162,당근 채 써는 게 제일 어려운데 채칼이 있으면 좋아요!
9_171,지금 배송 중이라는데 비 안 맞고 잘 왔으면 좋겠어요.
9_199,이게 끝이 안 보이니까 정말 더 그럴 거 같아요.
9_203,그럼, 가구 사면서 인테리어 소품 이런 건 안 샀어?
9_211,사실 별 효과가 안 느껴져서 점점 안 먹게 됐어요.
9_217,다들 실내에서 운동하기 힘드니까 강아지 데리고 산책하시는 분들 많더라고요.
9_221,실내에 있을 때 비 오는 것은 좋은 거 같아요.
9_222,저는 부동산은 하나도 몰라서 관련 책을 읽어본 적이 없어요.
9_227,공연은 홍대 근처 살 때 어릴 때 많이 봤어요.
9_271,진짜 어디 안 다치고 건강한 게 최고인 것 같아요.
9_299,메달 못 따는 거 아는데도 정말 응원해 주고 싶더라고요.
